date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Total,160.0,100.0,511.28571428571,100.0
2021-01-10,California,State,Omicron,1.0,0.62,0.85714285714,0.167644593462
2021-01-11,California,State,Total,566.0,100.0,412.14285714285,100.0
2021-01-11,California,State,Epsilon,273.0,48.23,221.0,53.622183708839
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.034662045061
2021-01-11,California,State,Other,279.0,49.29,181.42857142857,44.020797227036
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Alpha,8.0,1.41,7.14285714285,1.733102253033
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.034662045061
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.277296360485
2021-01-11,California,State,Omicron,2.0,0.35,1.14285714285,0.277296360485
2021-01-12,California,State,Total,556.0,100.0,375.85714285714,100.0
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.03800836184
2021-01-12,California,State,Omicron,0.0,0.0,1.14285714285,0.304066894717
2021-01-12,California,State,Alpha,9.0,1.62,6.14285714285,1.634359559103
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.03800836184
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.342075256556
2021-01-12,California,State,Other,241.0,43.35,165.14285714285,43.937666286583
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.03800836184
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-12,California,State,Epsilon,304.0,54.68,201.71428571428,53.667806917522
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.246478873239
2021-01-13,California,State,Epsilon,339.0,58.55,220.57142857142,54.366197183099
